State,Establishments_2022,Establishments_2015,CAGR_Percentage
Johor,15727,16259,-0.47412419594998756
Kedah,6603,12181,-8.376192282666183
Kelantan,7181,11434,-6.429066391466964
Melaka,4838,7298,-5.703717386107964
Negeri Sembilan,6362,8471,-4.007567388319333
Pahang,6841,8397,-2.8852799751297065
Pulau Pinang,11432,12272,-1.0077988141273586
Perak,11551,15072,-3.7296232966777088
Perlis,1475,1886,-3.4504959157258486
Selangor,24625,28793,-2.2090929144455873
Terengganu,6825,8319,-2.7882435403158157
Sabah,7875,7447,0.8015081296027793
Sarawak,10654,10804,-0.19952963779684696
WP K Lumpur,11692,18143,-6.083919800631865
WP Labuan,369,379,-0.3812650612415647
WP Putrajaya,246,335,-4.315526519073442
