Industry,Number_of_Establishments,Activity
Restaurants and restaurants cum night clubs,39149,Food Service
Cafeterias,5731,Food Service
Fast food restaurants,4166,Food Service
Ice cream trucks,94,Food Service
Mobile food carts,427,Food Service
Food stalls/hawkers,43818,Food Service
"Food or beverage, food and preparation in market stalls/hawkers",13744,Food Service
"Pubs,bars,discotheques,coffee houses,cocktail lounges and karaoke",1312,Beverage Service
Coffee shops,3279,Beverage Service
Drink stalls/hawkers,2623,Beverage Service
Mobile beverage,918,Beverage Service
Others drinking places n.e.c.,4984,Beverage Service
Event/food caterers,6904,Event Catering Service
Other food service activities,9304,Event Catering Service
